0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,1,0,7,1,0,1,0,1,1,1,1,0,81.25,580.1,1,0,0,1,0,0,0,1,0,0
1,0,1,1,8,1,0,0,0,0,0,1,0,1,54.4,475.1,1,0,0,0,0,1,0,1,0,0
0,0,1,0,3,1,1,0,0,0,0,1,1,1,95.2,292.85,1,0,0,0,0,1,0,0,1,0
1,1,0,0,3,0,0,0,0,1,0,0,1,1,41.15,132.2,1,0,0,0,0,1,0,1,0,0
0,0,0,0,60,1,0,1,0,1,1,1,1,1,104.95,6236.75,1,0,0,1,0,0,0,0,1,0
1,0,1,1,24,1,0,0,0,0,0,0,0,1,20.8,469.65,0,1,0,0,1,0,0,0,0,1
1,0,0,0,29,1,1,0,1,1,0,0,1,0,70.9,1964.6,0,1,0,0,1,0,0,1,0,0
1,0,1,0,72,1,1,0,1,1,0,1,1,1,104.8,7470.1,0,0,1,1,0,0,0,0,1,0
1,0,1,1,42,1,0,0,0,1,1,1,1,0,73.15,3088.25,0,1,0,0,0,1,0,1,0,0
1,1,1,0,61,1,1,0,1,0,0,0,0,1,82.15,4904.85,1,0,0,0,0,1,0,0,1,0
1,0,0,0,46,1,0,0,0,0,0,0,0,0,20.05,902,0,0,1,1,0,0,0,0,0,1
0,0,0,0,16,1,0,0,0,0,0,0,0,0,19.05,326.65,0,1,0,0,0,0,1,0,0,1
0,0,1,0,42,1,1,1,1,0,1,0,0,1,66.4,2727.8,1,0,0,0,1,0,0,1,0,0
1,0,0,0,41,1,0,0,1,0,1,1,1,1,99.65,4220.35,0,0,1,0,1,0,0,0,1,0
1,1,1,0,56,1,0,1,1,1,1,1,1,1,85.65,4824.45,0,0,1,1,0,0,0,1,0,0
0,0,1,1,29,1,0,0,0,0,0,0,0,0,20.2,558.8,0,0,1,0,0,0,1,0,0,1
1,0,1,0,11,1,0,0,0,0,0,1,0,1,55.05,608.15,1,0,0,1,0,0,0,1,0,0
0,0,0,0,1,1,0,0,1,0,0,0,0,0,50.55,50.55,1,0,0,0,0,1,0,1,0,0
1,0,1,1,56,1,1,0,1,0,1,1,0,1,96.95,5432.2,1,0,0,0,1,0,0,0,1,0
0,0,1,0,4,1,1,0,1,0,0,1,0,1,91.65,365.4,1,0,0,0,0,1,0,0,1,0
0,0,1,1,70,1,1,0,0,0,0,0,0,0,24.05,1764.75,0,0,1,0,0,0,1,0,0,1
0,0,1,1,14,1,1,0,0,0,0,0,0,0,25.55,372.45,1,0,0,0,0,0,1,0,0,1
1,0,1,1,13,1,0,0,0,1,0,1,1,1,96.65,1162.85,1,0,0,0,0,0,1,0,1,0
1,0,1,0,71,1,1,1,1,1,0,1,1,1,109.6,7854.15,0,1,0,0,0,1,0,0,1,0
0,0,1,1,68,1,1,1,1,1,1,1,1,1,89.05,6185.8,0,0,1,1,0,0,0,1,0,0
0,0,1,1,71,1,1,1,1,1,0,1,0,0,100.5,7030.65,0,0,1,1,0,0,0,0,1,0
1,0,1,1,17,0,0,1,0,1,0,1,0,0,44.45,792.15,0,1,0,0,1,0,0,1,0,0
0,0,1,0,17,1,1,1,0,0,0,0,0,0,78.9,1348.95,1,0,0,0,0,1,0,0,1,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,20.15,117.95,1,0,0,0,0,0,1,0,0,1
1,0,1,1,33,1,0,0,1,1,1,1,1,0,82.1,2603.1,0,0,1,0,1,0,0,1,0,0
1,0,0,0,10,1,1,0,0,0,0,0,0,1,74.15,811.8,1,0,0,0,0,0,1,0,1,0
0,1,0,0,64,1,1,1,0,1,1,1,1,1,108.95,7111.3,1,0,0,1,0,0,0,0,1,0
0,0,0,0,19,0,0,0,0,0,0,1,1,1,44.85,893.55,0,1,0,0,1,0,0,1,0,0
0,0,0,1,17,1,1,0,0,1,0,0,0,1,55.85,937.5,0,1,0,0,0,0,1,1,0,0
0,1,1,0,62,1,1,0,1,1,0,1,0,1,97.95,5936.55,0,1,0,0,1,0,0,0,1,0
1,0,0,0,22,1,1,0,0,0,0,1,1,1,94.65,2104.55,1,0,0,0,1,0,0,0,1,0
1,0,1,1,61,1,0,1,1,1,1,1,1,0,84.9,5264.5,0,1,0,1,0,0,0,1,0,0
1,1,1,1,72,1,0,1,0,1,1,1,1,1,104.1,7447.7,0,0,1,0,1,0,0,0,1,0
1,0,1,0,72,1,1,1,1,1,1,1,1,1,115.55,8425.3,0,0,1,0,0,1,0,0,1,0
0,1,0,0,14,1,1,0,1,0,0,0,0,1,78.95,1101.85,1,0,0,0,0,1,0,0,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,24.5,46.4,1,0,0,0,0,1,0,1,0,0
0,0,0,0,17,1,0,1,1,0,1,1,1,0,79.85,1387.35,0,1,0,0,1,0,0,1,0,0
1,0,1,1,5,1,0,0,0,0,0,0,0,0,20.1,85.1,0,1,0,0,0,0,1,0,0,1
0,1,0,0,30,1,1,1,1,1,0,0,0,0,91.7,2758.15,1,0,0,0,1,0,0,0,1,0
1,0,1,0,72,1,1,1,1,1,0,1,0,1,97.95,7114.25,0,0,1,0,1,0,0,0,1,0
0,0,0,0,23,1,1,0,0,0,0,0,0,0,24.8,615.35,0,1,0,0,1,0,0,0,0,1
1,0,1,0,70,1,1,0,1,1,0,1,0,1,95.0,6602.9,0,1,0,1,0,0,0,0,1,0
0,1,0,0,26,1,1,1,1,0,0,0,1,1,95.0,2497.2,1,0,0,0,0,1,0,0,1,0
1,0,0,0,7,1,1,0,0,0,0,0,0,0,73.6,520,1,0,0,0,0,1,0,0,1,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,19.95,19.95,1,0,0,1,0,0,0,0,0,1
0,0,0,0,35,1,0,0,0,0,0,0,0,0,20.75,700.45,0,1,0,0,0,0,1,0,0,1
0,1,1,1,47,1,0,0,0,0,0,0,0,0,70.55,3309.25,1,0,0,1,0,0,0,0,1,0
1,0,0,1,35,1,0,0,0,1,0,1,0,1,85.15,3030.6,0,1,0,0,0,1,0,0,1,0
0,0,0,0,47,1,1,0,1,1,0,1,1,1,106.4,5127.95,1,0,0,0,0,1,0,0,1,0
1,0,0,0,49,1,1,0,0,0,1,1,0,1,66.15,3199,0,0,1,1,0,0,0,1,0,0
0,0,0,0,9,1,1,0,0,0,0,0,1,1,83.3,803.3,1,0,0,0,0,1,0,0,1,0
0,0,1,1,56,1,1,0,0,0,0,0,0,1,24.45,1385.85,0,0,1,0,0,0,1,0,0,1
0,0,0,0,34,1,1,1,1,0,1,0,0,1,64.4,2088.75,0,1,0,0,0,0,1,1,0,0
0,0,0,0,26,1,1,0,0,1,0,1,1,1,100.5,2599.95,1,0,0,1,0,0,0,0,1,0
1,0,0,1,45,1,1,0,0,1,0,1,1,0,99.7,4634.35,0,0,1,1,0,0,0,0,1,0
1,0,0,1,1,1,0,1,0,0,0,0,0,0,50.6,50.6,1,0,0,0,0,0,1,1,0,0
1,0,0,0,39,1,1,0,0,0,0,0,0,0,75.25,3017.65,1,0,0,0,0,1,0,0,1,0
0,0,1,1,68,1,1,0,1,0,1,1,1,1,103.75,7039.45,0,0,1,0,1,0,0,0,1,0
1,0,1,0,32,1,1,0,0,0,1,0,0,1,79.25,2619.15,0,1,0,0,0,1,0,0,1,0
1,0,0,0,4,1,1,0,0,0,0,0,0,0,25.25,101.9,1,0,0,0,0,0,1,0,0,1
0,0,0,0,11,0,0,0,0,0,0,1,0,1,35.8,363.15,1,0,0,0,0,0,1,1,0,0
0,0,1,0,25,1,1,0,1,0,0,0,0,0,54.1,1373,1,0,0,0,0,1,0,1,0,0
0,0,0,0,9,1,0,0,0,0,0,0,0,0,19.05,157.65,1,0,0,0,0,0,1,0,0,1
0,0,0,0,5,1,0,1,0,0,1,0,0,0,54.2,308.25,1,0,0,0,0,1,0,1,0,0
0,0,1,1,18,1,0,0,0,0,0,0,0,1,20.25,401.95,1,0,0,0,0,0,1,0,0,1
0,1,1,0,11,1,1,0,0,1,0,1,1,1,99.55,1131.2,1,0,0,0,0,1,0,0,1,0
1,0,1,1,42,1,0,1,0,0,1,0,1,0,63.7,2763.35,0,1,0,0,1,0,0,1,0,0
0,0,1,1,20,1,0,0,0,0,0,0,0,0,20.35,442.6,1,0,0,0,0,0,1,0,0,1
0,0,0,1,11,1,0,0,0,0,0,0,0,0,19.7,216.2,1,0,0,0,1,0,0,0,0,1
0,0,0,0,41,1,0,0,1,0,1,1,1,1,98.8,3959.15,0,0,1,1,0,0,0,0,1,0
1,0,0,0,57,1,0,0,0,0,0,0,0,0,20.65,1125.6,0,0,1,1,0,0,0,0,0,1
0,0,1,0,48,1,1,1,0,0,1,0,0,1,60.6,2985.25,0,1,0,1,0,0,0,1,0,0
1,0,0,1,5,1,0,0,0,0,0,0,0,0,20.35,122,1,0,0,0,1,0,0,0,0,1
0,0,1,0,62,1,0,1,1,1,0,1,0,1,72.0,4284.2,0,0,1,0,1,0,0,1,0,0
0,0,0,0,2,1,1,0,0,0,0,1,1,1,96.0,174.8,1,0,0,0,0,1,0,0,1,0
0,0,0,0,6,1,1,0,1,1,1,1,1,1,109.9,669.45,1,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.3,20.3,1,0,0,0,0,0,1,0,0,1
1,0,1,1,58,1,0,0,1,0,0,1,1,1,92.85,5305.05,1,0,0,0,0,1,0,0,1,0
1,0,1,1,66,1,0,0,0,0,0,0,0,1,20.35,1359.5,0,1,0,0,0,1,0,0,0,1
0,0,0,0,1,1,0,1,1,0,0,0,0,1,54.9,54.9,1,0,0,0,0,1,0,1,0,0
1,0,1,1,22,1,0,1,0,0,0,0,0,0,75.0,1573.95,1,0,0,1,0,0,0,0,1,0
0,0,1,1,40,1,1,0,0,0,0,0,0,1,24.8,1024.7,0,0,1,0,0,0,1,0,0,1
0,0,0,0,8,1,1,1,0,0,1,1,1,1,103.35,847.3,1,0,0,1,0,0,0,0,1,0
1,0,0,1,23,1,0,0,1,0,1,0,0,1,55.3,1284.2,1,0,0,1,0,0,0,1,0,0
1,0,1,0,44,1,0,0,0,0,0,1,1,1,90.65,3974.15,0,1,0,1,0,0,0,0,1,0
1,0,0,0,51,1,0,0,0,0,0,0,0,0,20.45,1042.65,0,0,1,0,0,0,1,0,0,1
0,0,0,0,1,1,1,0,1,0,0,0,0,1,79.15,79.15,1,0,0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,20.3,20.3,1,0,0,0,0,0,1,0,0,1
1,1,1,0,67,1,1,0,0,0,0,1,1,1,94.65,6079,1,0,0,0,1,0,0,0,1,0
0,0,1,0,3,1,1,0,0,0,0,0,0,1,75.15,216.75,1,0,0,0,1,0,0,0,1,0
0,0,0,0,70,1,1,1,1,1,0,1,1,0,84.7,5991.05,0,0,1,0,0,0,1,1,0,0
0,0,1,1,72,1,1,1,0,1,1,1,1,1,110.45,8058.85,0,0,1,1,0,0,0,0,1,0
0,0,1,1,14,1,1,0,0,0,1,1,0,1,91.65,1301,1,0,0,0,0,1,0,0,1,0
0,0,0,0,15,1,0,0,0,1,0,1,1,1,94.0,1505.45,1,0,0,0,1,0,0,0,1,0
0,0,0,0,16,1,0,0,0,0,0,0,0,0,20.1,296.15,0,1,0,0,0,0,1,0,0,1
1,0,1,0,44,1,0,1,1,0,1,0,0,1,59.85,2603.95,0,1,0,1,0,0,0,1,0,0
0,0,0,0,60,0,0,1,0,1,0,0,1,1,44.45,2773.9,0,1,0,0,0,1,0,1,0,0
1,1,0,0,35,1,1,0,0,1,0,1,1,1,101.4,3496.3,1,0,0,0,0,1,0,0,1,0
1,0,1,1,64,1,1,1,0,1,0,0,1,0,93.4,5822.3,0,0,1,1,0,0,0,0,1,0
0,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,1,0,0,0,0,1,0,0,1,0
1,0,0,0,3,1,0,0,0,0,0,0,0,1,43.3,123.65,1,0,0,0,0,1,0,1,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.65,19.65,1,0,0,0,0,0,1,0,0,1
1,0,1,0,47,1,0,0,0,0,0,0,0,0,19.65,973.1,0,0,1,0,0,0,1,0,0,1
1,0,1,1,42,1,0,0,0,0,0,0,0,0,19.35,867.3,0,0,1,0,0,0,1,0,0,1
0,0,0,0,42,0,0,1,1,1,1,0,1,1,54.75,2348.45,0,1,0,0,0,1,0,1,0,0
1,1,0,0,50,1,1,0,0,0,0,1,1,1,95.7,4816.7,1,0,0,0,0,1,0,0,1,0
1,0,0,0,35,1,1,1,0,1,0,0,0,1,59.6,2094.9,1,0,0,0,0,1,0,1,0,0
1,1,0,0,4,1,0,0,0,0,0,0,0,0,69.35,261.65,1,0,0,0,0,1,0,0,1,0
0,0,0,0,7,1,1,0,0,0,0,0,0,1,75.35,564.65,1,0,0,0,0,1,0,0,1,0
1,0,0,0,19,1,0,0,0,0,0,0,0,1,45.0,865.85,1,0,0,1,0,0,0,1,0,0
1,0,1,1,31,1,1,0,0,0,0,0,1,0,59.7,1825.5,1,0,0,1,0,0,0,1,0,0
0,0,1,1,65,1,1,0,0,0,0,0,0,1,25.3,1748.55,0,0,1,1,0,0,0,0,0,1
1,0,1,1,33,1,0,0,0,0,0,0,0,1,19.45,600.25,0,1,0,1,0,0,0,0,0,1
0,0,1,1,16,1,1,1,0,1,1,1,1,1,112.95,1882.55,1,0,0,0,0,1,0,0,1,0
1,0,1,0,68,1,1,0,0,0,0,0,0,0,25.25,1728.2,0,0,1,1,0,0,0,0,0,1
0,1,0,0,34,0,0,0,1,1,0,1,1,1,56.25,1765.95,1,0,0,0,0,1,0,1,0,0
1,0,1,1,59,1,1,1,1,0,1,1,1,1,111.1,6555.2,0,0,1,0,0,0,1,0,1,0
1,0,0,0,11,0,0,0,1,1,0,0,0,0,34.7,383.55,1,0,0,0,0,0,1,1,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.0,20,1,0,0,0,0,0,1,0,0,1
0,0,1,1,56,1,0,0,0,0,0,0,0,1,19.8,1119.9,0,0,1,0,1,0,0,0,0,1
1,0,1,1,55,1,0,0,0,1,1,0,0,1,55.25,3119.9,0,0,1,0,1,0,0,1,0,0
1,0,0,0,3,1,0,0,1,0,0,0,0,0,74.45,221.1,1,0,0,0,1,0,0,0,1,0
1,0,1,1,15,1,0,0,0,0,0,0,0,0,19.65,332.65,0,1,0,0,0,0,1,0,0,1
1,0,1,1,8,1,0,0,0,1,0,0,0,1,51.05,415.05,1,0,0,0,0,1,0,1,0,0
0,0,1,1,49,1,1,0,0,0,0,0,0,0,25.25,1211.65,0,0,1,0,0,0,1,0,0,1
0,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,0,0,1,0,0,0,0,1,0
1,0,1,1,60,1,1,1,0,1,0,1,0,1,95.4,5812,0,1,0,1,0,0,0,0,1,0
1,0,1,0,69,0,0,1,0,1,1,1,1,0,60.25,4055.5,0,0,1,1,0,0,0,1,0,0
0,0,0,1,15,1,0,1,1,1,1,0,0,0,65.6,1010,0,1,0,0,1,0,0,1,0,0
1,1,1,0,20,1,1,0,1,0,1,1,1,0,107.05,2172.05,1,0,0,0,0,1,0,0,1,0
0,0,1,0,55,1,0,1,0,0,0,1,1,1,94.75,5276.1,0,1,0,0,0,1,0,0,1,0
0,0,0,0,26,1,1,0,0,1,0,0,0,1,80.7,2193,1,0,0,0,0,1,0,0,1,0
0,0,0,0,53,1,1,1,1,1,0,1,0,0,98.6,5311.85,0,1,0,0,0,0,1,0,1,0
1,0,0,0,28,0,0,0,0,0,1,0,0,1,30.1,810.85,1,0,0,0,1,0,0,1,0,0
1,0,1,1,19,1,0,0,0,0,0,0,0,0,20.2,387.4,0,0,1,0,0,0,1,0,0,1
0,0,1,1,14,1,0,0,0,0,0,0,0,0,18.8,255.55,0,0,1,0,0,0,1,0,0,1
0,0,0,0,15,1,1,0,1,0,0,1,1,1,100.15,1415,1,0,0,0,0,1,0,0,1,0
0,0,1,0,18,1,0,1,0,0,0,0,0,0,74.8,1438.05,1,0,0,0,0,1,0,0,1,0
0,0,1,0,37,1,1,1,0,1,1,0,0,0,68.1,2479.25,0,1,0,0,1,0,0,1,0,0
1,0,1,1,70,1,1,1,1,1,1,1,0,1,79.25,5731.85,0,0,1,1,0,0,0,1,0,0
0,0,1,1,32,1,0,1,1,1,1,0,1,0,76.3,2404.15,1,0,0,1,0,0,0,1,0,0
1,0,1,1,68,1,0,1,1,0,1,0,1,0,95.1,6683.4,0,0,1,1,0,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,1,0,0,0,0,0,1,0,0,1
1,0,0,0,46,1,1,0,1,1,0,1,0,1,94.9,4422.95,0,1,0,0,1,0,0,0,1,0
1,1,1,1,68,1,1,0,0,1,1,1,1,1,107.15,7379.8,0,1,0,0,1,0,0,0,1,0
1,0,1,1,38,1,0,0,0,0,0,0,0,0,19.6,717.3,1,0,0,0,0,1,0,0,0,1
1,0,0,1,8,1,0,0,0,0,0,0,0,0,20.35,178.7,1,0,0,0,0,0,1,0,0,1
1,0,0,0,3,0,0,0,0,0,1,0,0,0,30.4,82.15,1,0,0,0,0,1,0,1,0,0
1,0,1,1,40,1,1,0,0,1,0,1,1,1,74.55,3015.75,1,0,0,0,0,1,0,1,0,0
0,0,1,0,6,1,0,0,0,0,1,0,0,1,49.15,270.8,1,0,0,0,0,1,0,1,0,0
1,0,0,0,5,1,0,0,0,0,0,0,0,0,20.25,109.8,1,0,0,0,0,0,1,0,0,1
0,0,1,1,52,1,0,1,0,1,0,1,1,0,100.3,5244.45,0,1,0,0,0,1,0,0,1,0
1,1,1,1,66,1,1,1,1,1,1,1,1,1,116.25,7862.25,0,1,0,0,0,1,0,0,1,0
0,0,1,1,20,1,1,0,0,0,0,0,0,1,25.55,507.4,1,0,0,1,0,0,0,0,0,1
1,0,0,0,34,1,1,0,1,0,1,1,1,1,105.35,3540.65,1,0,0,0,0,1,0,0,1,0
1,0,0,0,14,0,0,0,0,1,0,1,1,1,50.75,712.75,1,0,0,0,0,1,0,1,0,0
1,0,1,1,62,1,1,1,1,1,1,1,1,0,115.55,7159.05,0,0,1,1,0,0,0,0,1,0
0,0,0,0,24,1,0,0,0,0,0,0,0,0,20.45,527.35,0,1,0,0,1,0,0,0,0,1
0,0,1,1,1,0,0,0,0,0,1,1,0,0,40.1,40.1,1,0,0,0,0,1,0,1,0,0
1,0,1,0,3,1,0,0,0,1,1,0,0,1,55.8,154.55,1,0,0,0,0,0,1,1,0,0
1,1,1,0,59,1,1,0,0,0,0,1,1,1,93.85,5574.75,1,0,0,1,0,0,0,0,1,0
0,0,0,0,17,1,0,0,0,0,0,0,0,0,20.15,353.65,0,1,0,0,0,0,1,0,0,1
0,0,0,1,31,1,1,0,0,0,0,1,0,1,86.55,2697.4,1,0,0,0,1,0,0,0,1,0
1,0,1,0,59,1,1,0,0,1,0,1,1,1,99.5,5961.1,0,1,0,1,0,0,0,0,1,0
0,1,0,0,1,1,0,0,0,0,0,0,0,1,70.15,70.15,1,0,0,0,0,1,0,0,1,0
1,0,0,0,27,1,0,0,0,0,0,0,0,1,19.4,529.8,1,0,0,0,0,1,0,0,0,1
1,1,1,1,28,1,1,0,0,0,0,0,0,1,51.0,1381.8,0,1,0,0,0,1,0,1,0,0
1,0,0,1,23,1,0,0,1,0,1,0,0,0,54.15,1312.45,1,0,0,0,0,1,0,1,0,0
1,0,1,0,36,1,0,1,0,0,0,1,1,1,93.6,3366.05,1,0,0,0,0,1,0,0,1,0
0,0,1,1,54,1,1,1,1,0,0,1,1,1,104.1,5645.8,1,0,0,1,0,0,0,0,1,0
1,0,1,0,59,1,1,1,1,1,1,1,1,0,113.75,6561.25,0,0,1,0,0,1,0,0,1,0
1,0,0,0,66,1,0,0,1,1,0,1,1,0,99.5,6710.5,1,0,0,0,0,1,0,0,1,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,19.85,51.6,1,0,0,0,0,0,1,0,0,1
1,0,1,1,46,1,0,0,0,0,0,0,0,0,19.75,856.5,0,0,1,0,1,0,0,0,0,1
0,0,0,0,1,1,1,0,0,0,0,0,0,1,50.1,50.1,1,0,0,0,0,1,0,1,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,71.55,71.55,1,0,0,0,0,0,1,0,1,0
1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,1,0,0,0,1,0,0,0,1,0
1,0,1,1,54,1,1,0,1,0,1,1,0,1,70.7,3770,0,1,0,0,0,1,0,1,0,0
0,0,1,1,7,1,0,0,0,0,0,0,0,0,20.45,150.75,1,0,0,0,0,0,1,0,0,1
1,0,1,1,37,0,0,1,0,1,1,0,0,1,40.2,1525.35,0,1,0,0,0,1,0,1,0,0
1,1,0,0,1,1,1,0,0,0,0,1,1,1,94.0,94,1,0,0,0,0,1,0,0,1,0
1,0,0,1,72,1,0,0,0,0,0,0,0,0,19.9,1529.65,0,0,1,0,1,0,0,0,0,1
0,1,0,0,6,1,0,0,0,0,0,1,1,1,89.35,567.8,1,0,0,0,0,1,0,0,1,0
0,0,0,1,50,1,0,1,0,1,1,1,0,1,70.8,3478.15,0,1,0,0,1,0,0,1,0,0
0,0,1,1,70,1,1,1,0,0,0,0,1,0,65.2,4543.15,0,1,0,1,0,0,0,1,0,0
1,0,0,0,19,1,0,0,1,1,0,0,0,1,78.25,1490.95,1,0,0,0,0,1,0,0,1,0
0,0,0,1,34,1,0,1,1,1,0,1,1,1,105.35,3688.6,1,0,0,1,0,0,0,0,1,0
0,0,1,1,63,1,0,0,0,0,0,0,0,0,20.0,1209.25,0,0,1,0,1,0,0,0,0,1
0,0,0,0,20,1,0,0,0,0,0,0,0,1,18.9,347.65,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,1,1,0,0,0,0,0,0,1,74.35,74.35,1,0,0,0,0,1,0,0,1,0
1,0,1,1,31,1,1,1,0,1,0,1,0,0,98.05,3082.1,0,1,0,1,0,0,0,0,1,0
0,0,1,1,4,1,1,0,0,0,0,0,1,1,85.95,381.3,1,0,0,0,0,1,0,0,1,0
1,0,1,1,34,1,0,0,0,0,0,1,0,0,78.3,2564.3,1,0,0,0,0,1,0,0,1,0
1,0,0,0,12,1,1,0,0,0,0,1,1,1,96.05,1148.1,1,0,0,0,0,1,0,0,1,0
0,0,1,1,37,1,1,0,0,0,0,1,1,1,95.25,3314.15,1,0,0,0,0,1,0,0,1,0
1,0,0,0,13,1,0,0,1,1,0,0,0,1,79.8,973.45,1,0,0,0,0,1,0,0,1,0
1,0,0,0,5,1,0,0,0,0,0,0,0,0,19.95,107.05,1,0,0,0,0,0,1,0,0,1
0,0,1,0,72,1,0,0,0,0,0,0,0,0,19.4,1496.45,0,0,1,1,0,0,0,0,0,1
1,1,1,0,13,1,0,0,1,0,1,0,1,1,89.05,1169.35,1,0,0,1,0,0,0,0,1,0
1,0,0,0,11,1,0,0,0,0,0,0,0,1,20.45,237.3,1,0,0,0,1,0,0,0,0,1
1,0,1,0,53,1,0,0,0,0,0,0,0,0,19.9,1110.05,0,0,1,0,1,0,0,0,0,1
1,0,0,0,1,1,1,0,0,1,0,1,1,1,101.45,101.45,1,0,0,0,0,1,0,0,1,0
1,1,0,0,20,1,0,1,0,0,1,0,0,0,54.0,1055.9,0,1,0,0,0,0,1,1,0,0
1,0,1,0,66,1,1,0,1,0,1,1,1,1,104.05,6890,0,1,0,0,0,1,0,0,1,0
0,0,1,1,30,1,0,0,0,1,1,1,0,1,64.5,1985.15,0,1,0,0,0,1,0,1,0,0
0,0,0,0,2,1,0,1,1,0,1,0,0,1,86.25,181.65,1,0,0,0,0,1,0,0,1,0
1,0,0,0,10,1,1,0,1,0,0,0,0,0,79.85,797.25,1,0,0,0,0,1,0,0,1,0
1,0,1,1,48,1,1,0,0,0,0,0,0,0,23.55,1173.35,0,0,1,0,0,0,1,0,0,1
1,1,1,0,61,1,1,0,1,0,1,0,0,1,85.55,5251.75,0,1,0,1,0,0,0,0,1,0
1,0,0,0,17,1,0,1,1,0,0,0,0,0,56.1,946.95,0,1,0,0,0,0,1,1,0,0
0,0,1,1,72,1,1,1,1,0,1,0,0,0,66.75,4760.3,0,0,1,0,1,0,0,1,0,0
1,0,1,0,57,1,0,1,1,0,1,0,0,1,59.75,3450.15,0,0,1,0,0,1,0,1,0,0
0,0,1,1,31,1,1,0,1,0,1,1,1,0,80.55,2471.6,0,0,1,1,0,0,0,1,0,0
0,0,0,0,8,1,0,0,0,0,0,0,0,1,20.7,137.6,1,0,0,0,0,0,1,0,0,1
0,0,1,1,55,1,1,1,1,0,0,0,0,1,85.1,4600.95,1,0,0,0,0,1,0,0,1,0
1,1,0,0,26,1,1,0,0,0,0,1,1,1,93.6,2404.1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,3,1,0,0,0,0,0,1,1,1,92.0,266.8,1,0,0,0,0,1,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,18.9,18.9,1,0,0,0,0,0,1,0,0,1
1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,0,0,0,0,1,0,0,1,0
1,0,1,0,71,1,1,1,1,0,1,1,0,0,73.5,5357.75,0,0,1,0,1,0,0,1,0,0
0,0,0,0,23,1,1,1,0,0,0,1,0,1,90.05,2169.8,1,0,0,1,0,0,0,0,1,0
0,0,0,1,34,1,1,1,1,1,1,1,1,1,116.15,3946.9,0,0,1,0,1,0,0,0,1,0
0,1,1,0,29,1,1,0,0,1,0,1,1,1,99.05,2952.85,1,0,0,1,0,0,0,0,1,0
0,0,0,0,19,0,0,0,1,0,0,0,1,1,39.7,710.05,1,0,0,0,0,1,0,1,0,0
